ist_kodas;data;gydytojo_ID;pirminiu_trukme;priimtu_pirm_skc;visas_priemimo_laikas;visu_pac_skc;nuo;iki;iraso_sukurimo_data
300045393;2020-12-11;1110721;180;12;360;24;09:00;15:00;2020-12-12 03:00
300045393;2020-12-11;1116152;180;12;360;24;07:00;13:00;2020-12-12 03:00
300045393;2020-12-11;1113483;150;10;300;20;15:00;20:00;2020-12-12 03:00
